ファイル名,セクションID,要素タイプ,テキスト内容,カテゴリ,サブカテゴリ,提供方法,優先度,新カテゴリ,新サブカテゴリ,新提供方法,新優先度
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,オドメーター／トリップメーターディスプレイ（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,マルチインフォメーションディスプレイ,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,ハイブリッドシステムインジケーター,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,シフトポジション表示灯（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,表示切りかえボタン（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,スピードメーター,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,時計（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,燃料計,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt,外気温,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,title,計器類の位置,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt_sub,車両に関するさまざまな情報を表示します。（→ ） 車両に異常が発生したときは警告メッセージを表示します。（→ ）,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt_sub,燃料残量を示します。次の場合、実際の燃料残量が正しく表示されないことがあります。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt_sub,ハイブリッドシステムの出力や回生レベルを示します。（→ ）,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010601,callouttxt_sub,外気温度を-40°C～60°Cのあいだで表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt,ハイブリッドエコエリア,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt,チャージエリア,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt,パワーエリア,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt_sub,ガソリンエンジンの動力を使用しない状況を多く含む状態を示します。 ガソリンエンジンは、各種の条件により自動的に停止・再始動します。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt_sub,回生 ※ ブレーキ機能により、エネルギーを回収している状態を示します。 回生した電力は、駆動用電池を充電します。,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt_sub,インジケーターのバー表示をエコエリアに保つことで、エコ運転が可能です。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt_sub,全開走行時など、エコ運転の範囲をこえている状態を示します。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,callouttxt_sub,エコ運転（環境に配慮した走行）をしている状態を示します。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205010602,footnote,ここでの「回生」の意味は、運動エネルギーを電気エネルギーに変換することです。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050106030801,note_para,エンジン回転数について ハイブリッド車のエンジン回転数は、燃費の向上や排気ガス低減などのため、ち密に制御されています。走行条件や運転条件が同じでも、エンジン回転数が異なる場合があります。,参考情報,クイックリファレンス,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050106030802,note_para,ハイブリッドシステムインジケーターについて 次の場合、ハイブリッドシステムインジケーターは作動しません。 ハイブリッドシステムインジケーターが点灯していないとき。 シフトポジションがDまたはB以外のとき,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050106030803,note_para,燃料計と航続可能距離について 燃料計と航続可能距離は連動しています。少量給油後に燃料計と航続可能距離の表示が更新されない場合、次の操作を行うことで表示を更新することができます。 車両を平坦な場所に停車させる 表示切りかえボタンを押してオドメーター／トリップメーターディスプレイをオドメーター表示に切りかえる パワースイッチをOFFにする 表示切りかえボタンを押したまま、パワースイッチをONにする そのまま約5秒間表示切りかえボタンを押し続け、オドメーターが点滅を開始したら手をはなす オドメーターが約5秒間点滅したあと通常の表示にもどれば、更新は終了です。,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhch02.xml,ch02se010402050106030804,note_para,外気温表示について 次の場合は、正しい外気温が表示されなかったり、温度表示の更新が遅くなったりすることがありますが、故障ではありません。 停車しているときや、低速走行（約25km/h以下）のとき 外気温が急激に変化したとき（車庫・トンネルの出入り口付近など） “--”が表示されたときは、システム故障のおそれがあります。トヨタ販売店で点検を受けてください。,機能の使い方・操作方法,基本操作,体験OS化,中,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch02.xml,ch02se010402050106030805,note_para,液晶ディスプレイについて →,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050106030806,note_para,カスタマイズ機能 マルチインフォメーションディスプレイの で、計器類の表示を変更できます。（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050106041101,attention_para,低温時の画面表示について 画面の温度が極めて低いときは、画面表示の切りかえが遅れる場合がありますので、車室内を暖めてからご使用ください。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050106051101,attention_para,ハイブリッドシステムや構成部品への損傷を防ぐために マルチインフォメーションディスプレイに高水温警告灯が表示されたときは、オーバーヒートのおそれがあるので、ただちに安全な場所に停車してください。完全に冷えたあと、エンジンを確認してください。（→ ）,機能の使い方・操作方法,基本操作,体験OS化,高,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch02.xml,ch02se0104020502,title,オドメーター／トリップメーターディスプレイ,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205020601,itemtxt,トリップメーターA／トリップメーターB,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205020601,itemtxt,オドメーター,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205020601,title,表示項目,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205020601,itemtxt_sub,リセットしてからの走行距離を表示します。トリップA・トリップBの2種類で使い分けることができます。,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,規格・種類,デジタル記録,中
M52P95tojpjavhch02.xml,ch02se01040205020601,itemtxt_sub,走行した総距離を表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205020602,p,スイッチを押すごとに表示が切りかわります。また、トリップメーター表示中にスイッチを押し続けると、走行距離を0にすることができます。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205020602,title,表示の切りかえ,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se0104020503,title,時計の調整をするには,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030601,p,マルチインフォメーションディスプレイの から、時計の設定を変更できます。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030601,title,マルチメディアシステム非装着車,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030602,p,メーター操作スイッチの スイッチを押すごとに分を00に合わせることができます。,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030602,itemtxt,30 ～ 59分は切り上げられます。 （例えば、1：30 ～ 1：59は2：00になります。）,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030602,itemtxt,0 ～ 29分は切り下げられます。 （例えば、1：00 ～ 1：29は1：00になります。）,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030602,steptxt,メーター操作スイッチの または を押して“時計設定”を選択する,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030602,steptxt,メーター操作スイッチの または を押して を選択する,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030602,title,分を00にする,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030603,p,次の内容を変更することができます。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030603,steptxt,メーター操作スイッチの または を押して変更したい項目を選択する,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030603,steptxt,メーター操作スイッチの または を押して表示内容を変更する,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030603,steptxt,メーター操作スイッチの スイッチを長押しする,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030603,itemtxt,12時間表示／24時間表示,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030603,title,詳細設定,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030604,p,マルチメディア画面より、時計の設定を変更できます。 設定方法は、別冊「マルチメディア取扱説明書」を参照してください。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205030604,title,マルチメディアシステム装着車,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se0104020504,title,メーター照明の明るさを調整をするには,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205040601,p,マルチインフォメーションディスプレイの から、メーターの明るさを変更できます。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205040601,steptxt,メーター操作スイッチの または を押して“メーター輝度調整”を選択し、 スイッチを長押し,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040205040601,steptxt,メーター操作スイッチの または を押して明るさを調整する,機能の使い方・操作方法,基本操作,体験OS化,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010402050406020801,note_para,メーターの照度について（昼照度と夜照度） メーターの照度には昼照度と夜照度があり、次のときに照度が切りかわります。 昼照度：周囲が明るいときに車幅灯が点灯しているとき、または車幅灯が消灯しているとき 夜照度：周囲が暗いときに車幅灯が点灯しているとき,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se0104030501,paratabletxt,マルチインフォメーションディスプレイは、燃費に関する情報や、走行に関する各種の情報などを表示します。また、メーター操作スイッチの操作で、各システムの設定などを変更することもできます。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se0104030502,title,ディスプレイの表示／メニューアイコン一覧,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,itemtxt,レーダークルーズコントロール（全車速追従機能付き）（→ ）,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,itemtxt,LTA（レーントレーシングアシスト）（→ ）,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,itemtxt,RSA（ロードサインアシスト）（→ ）,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,callouttxt,走行支援システム表示エリア,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,callouttxt,コンテンツ表示エリア,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,title,ディスプレイの表示,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,callouttxt_sub,以外のメニューアイコンを選択している時に次のシステムが作動していると、システムの作動状況を表示します。,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,callouttxt_sub,メニューアイコンを選択し、走行に関するさまざまな情報を表示したり、車両設定を変更することができます。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020601,callouttxt_sub,また、状況に応じて注意喚起やアドバイスなどを割り込み表示します。,機能の使い方・操作方法,基本操作,体験OS化,高,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,メーター操作スイッチの または を押すとメニューアイコンが表示されます。,機能の使い方・操作方法,基本操作,体験OS化,高,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,オーディオシステム連携表示（→ ）,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,運転支援機能情報表示（→ ）,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,警告メッセージ（→ ）,機能の使い方・操作方法,基本操作,体験OS化,高,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,走行情報表示（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,車両情報表示（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305020602,p,設定（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010403050206030801,note_para,液晶ディスプレイについて ディスプレイに小さな斑点や光点が表示されることがあります。これは液晶ディスプレイ特有の現象でそのまま使用しても問題ありません。,トラブルシューティング,よくある問題と解決方法,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se010403050206041101,attention_para,運転中の使用について マルチインフォメーションディスプレイを操作する時は、周囲の安全に十分注意してください。,機能の使い方・操作方法,基本操作,体験OS化,高,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch02.xml,ch02se010403050206041102,attention_para,マルチインフォメーションディスプレイを見続けないでください。前方の歩行者、障害物などを見落とすおそれがあり危険です。,機能の使い方・操作方法,基本操作,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch02.xml,ch02se010403050206041103,attention_para,低温時の画面表示について →,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se0104030503,title,表示を切りかえるには,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305030601,p,メーター操作スイッチを使って次のように操作します。,機能の使い方・操作方法,基本操作,体験OS化,高,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305030601,callouttxt,／ ：メニューの切りかえ ／ ：表示項目の切りかえ・ページ送り・カーソル移動,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305030601,callouttxt,短押し：決定 長押し：リセット／詳細項目表示,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305030601,callouttxt,ひとつ前の画面にもどる,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305030601,callouttxt,電話の発着信・履歴表示,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305030601,callouttxt_sub,ハンズフリーシステムと連携して、発着信の表示や操作を行うことができます。ハンズフリーシステムについて詳しくは、別冊「マルチメディア取扱説明書」を参照してください。,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se0104030504,title,走行情報表示について,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040601,itemtxt,エコアクセルガイド／エコジャッジ,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040601,itemtxt,EV走行時間表示,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040601,itemtxt,燃費グラフ,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,p,平均燃費の表示は、メニューアイコンの から変更することができます。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,p,表示できる項目は次のとおりです。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,itemtxt,始動後平均燃費,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,itemtxt,給油後平均燃費,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt,リセット間平均燃費,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt,航続可能距離,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt,瞬間燃費,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt_sub,運転履歴から学習した燃費と現在の燃料残量から算出した走行可能な距離を表示します。使用環境（気象、渋滞など）や運転方法（急発進、エアコンの使用など）に応じて燃費がかわるため、実際に走行できる距離とは異なります。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt_sub,燃料給油量が少量（約5L以下）のとき、表示が更新されないことがあります。この場合、燃料計の表示とともに更新することができます。（→ ）,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt_sub,平均燃費をリセットするには、メーター操作スイッチの を長押しします。,機能の使い方・操作方法,基本操作,体験OS化,高,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,itemtxt_sub,ハイブリッドシステム始動後の平均燃費を表示します。,機能の使い方・操作方法,機能の説明,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt_sub,燃料残量による走行可能な距離を表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,itemtxt_sub,リセット間の平均燃費を表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,itemtxt_sub,給油後の平均燃費を表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040602,callouttxt_sub,現在の瞬間燃費を表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,⑥_状態異常・トラブルシュート,警告灯の意味と対応,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040603,itemtxt,なめらかな発進加速（エコ発進）・急な加減速のない安定した走行（安定走行）・スムーズな停車（エコ停車）という3つの観点から、走行状況をそれぞれ5段階で評価し、車両が停車するたびに100点満点で採点結果を表示します。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040603,itemtxt,ハイブリッドシステムを停止すると、今回の走行における総合的な採点結果が表示されます。,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040603,itemtxt,発進後、車速が約30km/hをこえるまで、エコジャッジの表示は開始されません。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040603,itemtxt,エコジャッジは発進するたびにリセットされ、新たに評価が開始されます。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch02.xml,ch02se01040305040603,itemtxt,表示の見方,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
